COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
aspirin	29 day	control	802	15.7	45.9	57.2	19.5	34.1	2.3	121.5	107.6	13	1	0	3	82	12.5	21.3	221	564	81	124	151	0.14	0.09	193	15	0.4	141	3.5	104	10.2	6.2	6.2	3.2	1.1	54	33	140	2
aspirin	29 day	control	860	15.7	44.7	52	18.3	35.2	1.7	128.8	93.5	14	1	0	2	81	12.2	21.3	224	660	70	152	152	0.18	0.12	211	20	0.5	140	3.9	103	10.4	5.9	6.2	3.5	1.3	59	33	139	1
aspirin	4 day	Low	585	13	38.2	65.3	22.2	33.9	6.3	102.6	141.6	6	1	0	1	90	11.8	18.9	218	852	79	116	162	0.15	0.1	228	16	0.4	139	4.2	101	10.5	7.1	5.7	3.6	1.7	142	85	654	0
aspirin	4 day	Low	672	14	40.6	60.4	20.8	34.4	5.3	121	104.8	13	1	0	2	83	12.2	18.2	224	735	81	144	159	0.15	0.1	189	14	0.3	140	4.1	103	10.7	6.5	5.6	3.4	1.5	66	31	265	1
aspirin	4 day	Low	653	13.8	40.7	62.3	21.2	34	5.7	101.5	103.7	15	0	0	3	79	12.7	19.9	221	1059	63	199	153	0.15	0.09	217	14	0.4	141	3.2	102	10.6	6.8	5.8	3.4	1.4	87	44	222	0
aspirin	4 day	Low	642	13.8	41.2	64.2	21.5	33.5	5.5	113.9	84.6	16	1	0	4	77	13.3	17.9	207	1008	63	44	121	0.13	0.08	197	12	0.4	140	3.8	101	10.7	6.9	5.6	3.3	1.4	76	35	199	1
aspirin	4 day	Low	654	13.9	40.9	62.5	21.2	33.9	6.3	126.9	80.8	18	1	0	4	76	12.3	22	200	798	69	75	136	0.13	0.08	195	13	0.3	142	3.8	104	11.1	6.5	5.8	3.6	1.6	61	30	236	1
aspirin	8 day	Low	700	13.9	40.9	58.4	19.8	33.9	4.1	114.8	100.8	13	1	0	2	84	12	20	205	762	64	122	133	0.13	0.09	232	15	0.4	140	4.2	102	10.6	7	5.6	3.2	1.3	46	22	143	0
aspirin	8 day	Low	630	13.1	38	60.4	20.8	34.5	4.8	120.4	86.2	13	1	0	2	84	12.5	21.3	197	874	82	119	152	0.15	0.1	208	16	0.4	140	4.2	103	10.4	7.8	5.4	3.1	1.3	61	27	207	0
aspirin	8 day	Low	637	13.4	39.5	62.1	21	33.9	5.8	122.5	142.1	8	1	0	2	89	12.4	19.9	218	983	58	104	116	0.14	0.1	243	15	0.4	140	3.9	102	10.4	7.9	5.6	3.1	1.2	67	32	211	1
aspirin	8 day	Low	641	13.8	41.7	65	21.5	33.1	6.1	117	161.4	17	1	0	3	78	13.2	31.9	207	677	92	87	164	0.13	0.09	206	17	0.4	142	4.2	104	10.9	6.4	5.7	3.3	1.4	73	30	301	1
aspirin	8 day	Low	644	13.4	39.5	61.3	20.8	33.9	5.7	129.8	110.4	10	1	0	2	86	12.8	19.6	202	1212	71	105	138	0.14	0.1	206	17	0.3	140	4.1	102	10.8	7.5	5.4	3.2	1.5	64	28	205	1
aspirin	15 day	Low	677	14.7	42.3	62.5	21.7	34.8	3.6	129.3	128.7	19	1	0	2	77	12	21.6	212	761	49	90	108	0.16	0.1	196	17	0.4	142	4.5	104	10.5	6.1	5.8	3.5	1.5	65	30	225	0
aspirin	15 day	Low	705	14.4	41	58.2	20.4	35	3.8	123.3	189.1	21	1	0	3	73	12.5	19.5	218	950	67	161	152	0.15	0.1	181	14	0.5	141	4.3	104	10.6	6.6	5.6	3.2	1.3	89	54	270	1
aspirin	15 day	Low	721	15	43.9	60.9	20.9	34.2	3.3	119.4	103.1	13	1	0	1	84	12.2	19.3	221	914	58	192	139	0.17	0.12	205	18	0.5	140	4.8	102	10.3	7.9	5.6	3.3	1.4	65	34	252	1
aspirin	15 day	Low	723	15.1	42.7	59	20.8	35.3	3.5	121.9	116	18	2	0	2	77	11.9	18.2	237	769	82	126	166	0.13	0.09	186	16	0.4	140	4.1	102	11.1	7	6	3.6	1.5	79	38	249	1
aspirin	15 day	Low	711	14.5	41.5	58.4	20.5	35	3.9	148.7	153.8	20	1	0	2	75	11.7	20.8	215	1118	103	99	200	0.14	0.1	181	15	0.4	141	3.5	102	10.6	7.7	5.9	3.7	1.7	82	47	224	0
aspirin	29 day	Low	744	14.2	42.7	57.4	19.1	33.3	2.3	95.5	103.4	11	1	0	2	84	12.8	19.9	197	1010	58	79	130	0.16	0.09	285	16	0.6	140	4.4	100	10.3	7.6	6	3.4	1.3	79	39	263	0
aspirin	29 day	Low	798	15.5	45	56.4	19.4	34.4	2.3	112.5	90.6	10	1	0	3	83	12.4	21.5	241	857	68	142	139	0.17	0.12	211	16	0.5	142	3.6	103	10.3	5.8	6	3.4	1.3	66	28	116	1
aspirin	29 day	Low	810	15.2	43.8	54	18.8	34.7	1.7	107.9	106.1	15	3	0	2	79	12.1	19.4	205	659	75	107	148	0.16	0.09	218	19	0.5	142	3.5	103	10.4	6.9	6.1	3.6	1.4	72	36	225	1
aspirin	29 day	Low	825	15.6	45.1	54.7	18.9	34.5	2.1	100	127.6	22	1	0	2	74	12.2	18.7	207	531	72	178	149	0.15	0.08	224	15	0.4	141	3.9	103	10.3	6.7	6	3.4	1.3	56	29	151	1
aspirin	29 day	Low	828	16.3	46.2	55.9	19.7	35.2	1.7	89.1	94.8	13	1	0	3	82	12.4	21.9	186	612	70	119	150	0.14	0.09	226	19	0.5	141	3.9	104	10.4	6.6	6.3	3.4	1.2	63	33	176	0
aspirin	4 day	Middle	669	13.4	39.2	58.5	20	34.1	6.2	119.6	81.4	14	1	0	3	82	12.5	19	212	804	74	175	166	0.15	0.11	202	13	0.4	141	3.6	100	10.7	7.2	5.6	3.5	1.7	69	32	160	1
aspirin	4 day	Middle	638	13.9	41.2	64.6	21.7	33.7	6.6	109	119.7	15	1	0	3	81	12.4	18.9	230	1016	61	123	140	0.13	0.08	212	11	0.4	142	3.6	104	10.7	6.8	5.8	3.5	1.5	76	42	263	1
aspirin	4 day	Middle	573	12.5	36.5	63.7	21.9	34.3	6.2	128.8	94.2	13	1	0	3	81	12.7	19	237	816	96	72	183	0.12	0.07	194	13	0.4	141	3.8	102	10.6	6.2	5.4	3.3	1.6	71	32	214	1
aspirin	4 day	Middle	650	13.5	39.6	60.8	20.8	34.1	4.8	106.5	136.4	14	1	0	2	82	12.1	18.4	230	1227	64	116	140	0.13	0.08	190	12	0.4	141	3.8	103	10.5	6.7	5.6	3.4	1.5	64	31	164	1
aspirin	4 day	Middle	606	13.7	40	65.9	22.7	34.4	5.9	116.8	109.5	16	1	0	3	78	11.9	19.6	230	760	74	102	150	0.11	0.05	185	12	0.3	140	3.9	103	10.7	8	5.6	3.2	1.3	62	30	250	1
aspirin	8 day	Middle	684	13.7	40.7	59.5	20	33.7	5.4	116.6	107.3	18	1	0	3	77	12.2	19.8	207	1023	81	220	184	0.2	0.15	212	17	0.5	141	4.6	103	9.9	8.2	5.5	3.3	1.5	77	47	221	0
aspirin	8 day	Middle	673	14.3	41.9	62.2	21.2	34.1	4	113.1	106.2	12	1	0	3	83	12.2	19.2	221	867	74	177	166	0.14	0.1	199	17	0.4	142	3.6	102	10.8	8.2	5.4	3.4	1.7	67	32	249	1
aspirin	8 day	Middle	685	14.3	41.6	60.7	20.9	34.4	3.8	113.1	103.7	16	1	0	2	80	12.4	18.6	227	968	57	140	141	0.14	0.09	222	18	0.4	141	3.6	102	10.4	8.2	5.5	3.3	1.5	73	37	187	0
aspirin	8 day	Middle	636	13.5	40.6	63.8	21.2	33.3	5.3	106.2	195.1	10	1	0	2	86	12.9	20.7	207	858	69	80	139	0.11	0.07	213	13	0.4	142	3.7	103	10.3	8.5	5.3	3	1.3	57	31	140	1
aspirin	8 day	Middle	677	14	40.7	60.1	20.7	34.4	4.9	146	85.7	10	1	0	2	86	12.1	18.1	218	793	78	150	162	0.12	0.06	212	15	0.5	139	4.3	102	10.5	9.3	5.3	3.1	1.4	60	28	314	1
aspirin	15 day	Middle	679	14	39	57.4	20.5	35.8	3.7	145.4	146.8	23	1	0	2	74	12.5	18.1	200	881	76	138	160	0.16	0.11	204	16	0.5	141	4	100	10.5	7.6	5.5	3.2	1.4	71	43	166	0
aspirin	15 day	Middle	682	13.9	39.8	58.4	20.4	34.9	4.2	114	261.7	11	3	0	2	84	12.8	20.6	197	796	84	151	173	0.17	0.12	183	17	0.5	142	4.5	102	10.3	8.4	5.3	3.3	1.7	100	43	291	1
aspirin	15 day	Middle	694	15.5	44	63.4	22.3	35.2	3.5	117.5	111.9	15	1	0	3	79	12.3	19.1	218	889	60	106	133	0.12	0.07	180	15	0.4	142	4.1	102	10.7	8.2	5.7	3.2	1.3	60	30	227	2
aspirin	15 day	Middle	746	15.5	44.3	59.4	20.8	35	3.5	121.8	130.7	21	2	0	4	72	12.1	20.3	197	734	57	214	153	0.14	0.09	199	13	0.4	142	3.5	103	10.3	7.9	5.7	3.3	1.4	68	29	344	0
aspirin	15 day	Middle	723	15.4	43.3	59.9	21.3	35.6	2.4	128	131.4	16	2	0	3	79	12.6	19.5	212	829	85	148	174	0.12	0.07	171	12	0.4	141	4.7	104	10.4	7.9	5.3	3.4	1.8	86	39	232	1
aspirin	29 day	Middle	782	15.5	44.4	56.8	19.8	34.9	2	100.1	119.7	8	1	0	2	89	12.8	21.5	190	611	80	174	159	0.19	0.13	297	17	0.6	141	4.1	102	10	7.7	5.6	3	1.2	75	32	214	1
aspirin	29 day	Middle	768	15.1	43.8	57.1	19.7	34.4	2.7	112.1	125.8	13	1	0	2	83	12.5	20.6	207	569	66	98	136	0.13	0.08	215	15	0.5	141	3.8	102	10	7.1	5.6	3.3	1.4	68	34	139	0
aspirin	29 day	Middle	847	15.5	45.3	53.6	18.3	34.2	1.7	102.3	93.8	24	2	0	3	69	12.5	22.6	207	670	55	210	143	0.17	0.11	186	17	0.5	144	3.5	103	10.3	7	6	3.7	1.6	71	36	215	1
aspirin	29 day	Middle	795	16	46.4	58.3	20.1	34.4	2.2	121.6	114	11	1	0	2	84	12.4	21.4	202	686	77	142	165	0.17	0.1	226	17	0.5	141	4	104	10.3	7.3	5.9	3.5	1.5	117	45	227	1
aspirin	29 day	Middle	754	15.1	43.3	57.5	20	34.9	2.6	107	89.9	17	2	0	3	76	12.4	20.5	221	672	69	120	146	0.16	0.1	222	15	0.5	144	3.7	103	10.4	7.2	5.9	3.4	1.4	76	32	170	0
aspirin	4 day	High	633	13.8	40.5	64	21.8	34.1	5.5	136.7	159.3	9	1	0	1	88	13.4	25	207	707	64	251	160	0.18	0.13	202	18	0.4	141	4.1	101	11.3	7.4	5.7	3.2	1.3	83	49	226	2
aspirin	4 day	High	618	13.4	39.3	63.6	21.6	34	4.4	122.1	88.5	12	1	0	2	84	16.2	31.3	207	853	63	176	132	0.16	0.11	195	16	0.4	141	3.8	102	11.1	6.2	5.2	3.1	1.5	79	47	223	1
aspirin	4 day	High	579	12.7	36.8	63.5	21.9	34.5	4.9	109	133	20	0	0	3	76	13.3	22.1	197	846	55	148	129	0.15	0.11	191	14	0.4	144	3.3	104	11.3	7.7	5.4	3.2	1.5	83	52	205	1
aspirin	4 day	High	641	13.8	39.9	62.3	21.6	34.6	5.5	132.4	150.2	14	0	0	2	82	14.8	26.5	241	1181	74	159	171	0.14	0.09	167	15	0.4	141	4	102	11.3	7.1	5.6	3.5	1.7	73	45	200	2
aspirin	4 day	High	679	13.6	40	58.9	20	34	3.4	110.6	100.1	19	0	0	2	77	13	19.7	210	814	55	201	144	0.16	0.11	185	11	0.4	144	3.4	106	10.9	7.3	5.6	3.6	1.8	94	42	313	1
aspirin	8 day	High	631	13.4	39.5	62.6	21.3	34	6.5	108.5	194.6	11	0	0	2	85	14.7	25.5	195	1425	53	119	121	0.16	0.11	224	16	0.5	141	4.4	103	10.5	6.5	5.1	3.4	2	91	59	166	1
aspirin	8 day	High	660	13.2	39.7	60.1	20	33.2	8.1	101.6	139.7	16	1	0	2	80	13.8	23.3	218	801	50	280	148	0.18	0.13	191	18	0.4	143	4.1	103	10.9	8.4	5.6	3.7	1.9	135	49	369	1
aspirin	8 day	High	633	13.1	39.5	62.5	20.7	33.2	8.3	115.4	215.5	14	1	0	2	82	12.8	22.3	205	932	82	163	179	0.15	0.09	224	18	0.5	142	4.4	103	11.5	8.2	5.4	3.4	1.7	117	48	236	1
aspirin	8 day	High	626	14.2	41.6	66.6	22.7	34	8.7	115.4	106.3	11	1	0	2	84	13.1	21.1	212	892	73	166	172	0.16	0.11	198	17	0.5	142	3.7	101	11.2	6.3	5.2	3.4	1.9	85	54	219	2
aspirin	8 day	High	597	12.8	37.8	63.3	21.5	34	7.9	115.8	139.4	18	1	0	3	77	13.4	20.9	221	976	76	184	173	0.12	0.08	200	15	0.4	142	3.7	102	11	7.8	5.1	2.9	1.3	84	48	251	1
aspirin	15 day	High	712	14.6	42.2	59.3	20.5	34.6	4.6	125.4	170.2	13	0	0	2	82	13.3	21.2	195	761	64	151	147	0.11	0.07	168	12	0.5	143	4.1	103	10.3	8.2	5.2	3.4	1.9	76	43	161	1
aspirin	15 day	High	688	14.6	42.4	61.6	21.2	34.4	3.9	109.6	125.8	16	1	0	1	81	13.2	23.8	212	936	61	313	184	0.17	0.13	194	22	0.5	142	4.6	101	10.9	6.5	5.6	3.3	1.4	127	55	394	0
aspirin	15 day	High	670	14.5	41.1	61.3	21.6	35.3	4.8	132.1	120.6	11	1	0	2	85	12.9	20.4	218	880	59	358	173	0.17	0.13	185	15	0.5	141	4.2	100	10.6	6.9	5.4	3.3	1.6	82	33	231	1
aspirin	15 day	High	660	14.4	41.1	62.3	21.8	35.1	4.8	121.3	177.5	24	2	0	4	69	12.2	25.5	207	1026	67	237	169	0.19	0.14	156	17	0.5	139	5.2	102	11	8.4	5.2	3.4	1.9	101	54	533	1
aspirin	15 day	High	669	14.3	40.9	61.2	21.3	34.9	5.6	141.2	140	18	1	0	4	76	13.3	19.4	218	752	77	194	180	0.13	0.09	176	16	0.5	141	4	101	11	8.2	5.4	3.2	1.5	78	46	241	1
aspirin	29 day	High	791	15.1	43.9	55.6	19.1	34.4	3.2	106.9	96.5	17	1	0	2	78	13.5	24.2	202	786	53	234	151	0.15	0.1	198	17	0.5	144	3.6	104	10	6.1	5.3	3.2	1.5	83	39	209	2
aspirin	29 day	High	686	14.7	43.4	63.3	21.4	33.9	3.8	98.5	82.3	24	1	0	3	71	13.8	22.6	193	710	57	165	135	0.14	0.09	201	22	0.6	142	4.2	102	10.8	5.5	5.6	3.5	1.7	89	48	214	1
aspirin	29 day	High	772	14.8	43.4	56.1	19.2	34.2	2.4	84.5	126.4	21	1	0	3	74	16	28.2	221	770	58	160	142	0.14	0.08	236	16	0.5	141	4.1	103	10	6.8	5.1	3.3	1.8	82	38	159	1
aspirin	29 day	High	693	15.1	42.8	61.8	21.8	35.2	4.5	84.9	156.9	15	1	0	2	81	13.1	23.1	169	680	61	180	153	0.16	0.1	190	19	0.5	140	4	101	10.6	7.4	5.2	3.4	1.9	67	33	141	1
aspirin	29 day	High	791	14.9	42.7	54	18.8	34.9	2.8	76.3	114.1	17	1	0	3	79	13.5	21.3	186	913	62	123	152	0.16	0.1	197	18	0.5	142	4	103	10	6.5	5	3.4	2.1	107	45	172	0
diclofenac	3 hr	control	638	13.9	39.9	62.5	21.8	34.9	7.1	100.5	131.8	12	0	0	2	84	12	21.9	211	1207	69	17	117	0.12	0.08	215	10	0.4	141	3.8	103	10	9.9	5.1	3.4	2	70	36	151	1
diclofenac	3 hr	control	630	13.8	39.2	62.1	21.9	35.3	7.8	93.8	95.7	13	1	0	2	83	11.6	18.2	211	934	92	78	165	0.11	0.06	207	15	0.4	141	4.5	102	10.5	9.7	5.4	3.3	1.6	72	38	178	1
diclofenac	3 hr	control	648	13.7	38	58.6	21.2	36.1	7.7	122.3	86.5	22	1	0	3	74	11.8	18.4	225	1101	77	63	142	0.12	0.07	196	10	0.4	140	3.8	103	10.7	9.2	5.6	3.3	1.4	74	38	192	1
diclofenac	3 hr	control	595	13.5	38.8	65.2	22.6	34.7	8.2	104	86.4	11	1	0	3	84	11.9	17.5	216	957	76	87	146	0.11	0.07	200	15	0.4	142	4.6	104	11	9.9	5.3	3.1	1.4	68	35	217	1
diclofenac	3 hr	control	647	14.7	40.8	63	22.8	36.2	8.5	122.6	93.1	14	0	0	2	82	12.1	16.8	214	920	73	39	130	0.12	0.07	246	11	0.5	140	4.6	102	10.5	11.1	5.3	3.3	1.6	66	30	208	1
diclofenac	6 hr	control	661	13.7	39	58.9	20.8	35.3	7	116.4	110.2	18	1	0	4	75	11.5	18.1	216	831	75	61	137	0.11	0.07	195	9	0.4	140	4.1	104	10.2	9.7	5.4	3.4	1.7	85	37	197	1
diclofenac	6 hr	control	653	13.6	38.9	59.6	20.9	35.1	8.6	124	132	8	0	0	1	88	11.8	19.7	237	1129	83	109	147	0.11	0.07	171	7	0.4	141	3.9	104	10.8	8.4	5.4	3.2	1.5	78	35	207	1
diclofenac	6 hr	control	588	13	37.1	63.1	22.1	35	9	141.1	55.8	16	1	0	4	78	12	18.9	225	870	93	57	155	0.11	0.06	172	10	0.4	140	4.4	102	10.5	9.8	5.3	3.3	1.6	80	39	179	1
diclofenac	6 hr	control	593	13.3	37.5	63.2	22.4	35.4	8	129.6	82.9	13	1	0	3	82	11.5	18.7	243	860	94	57	155	0.12	0.07	204	8	0.4	141	3.9	102	10.8	11.3	5.6	3.4	1.5	61	27	255	1
diclofenac	6 hr	control	623	13.5	38.4	61.7	21.6	35.1	7.8	126.8	73.5	14	1	0	2	82	12.2	18	228	1002	62	60	119	0.12	0.06	192	9	0.4	141	4.1	103	10.6	10.8	5.4	3.4	1.7	68	35	209	1
diclofenac	9 hr	control	625	13.5	38.5	61.6	21.5	35	7.7	125	99.5	15	0	0	2	80	12.4	19.9	225	784	69	28	123	0.12	0.07	249	10	0.4	140	4.4	102	10.5	10.6	5.5	3.5	1.8	57	24	208	1
diclofenac	9 hr	control	595	13.3	37.6	63.1	22.3	35.3	7.2	117.9	85.4	14	1	0	3	81	12	18.5	216	1164	72	112	145	0.1	0.05	191	13	0.4	141	4.3	104	10.8	8.5	5.3	3.4	1.8	69	35	250	1
diclofenac	9 hr	control	582	13.2	37.6	64.7	22.6	35	8.6	130.5	76	16	1	0	3	79	13	16.2	225	850	66	54	128	0.12	0.06	186	11	0.4	141	3.7	104	10.7	9.5	5.6	3.6	1.8	67	31	242	1
diclofenac	9 hr	control	606	13.3	38	62.7	22	35.1	8.8	135.1	65.7	18	1	0	5	74	12.3	19.6	222	836	71	87	135	0.12	0.07	197	8	0.4	141	4.1	104	10.7	10.2	5.2	3.3	1.7	58	27	151	1
diclofenac	9 hr	control	600	12.7	36.8	61.3	21.2	34.6	7.5	120.6	109	15	1	0	3	80	11.8	17.3	234	678	70	36	140	0.1	0.06	217	9	0.4	142	3.9	103	10.9	9.9	5.5	3.5	1.8	63	32	153	1
diclofenac	24 hr	control	565	13	37.2	65.8	23.1	35	6.2	136.3	91.6	16	1	1	2	80	11.6	21.1	206	1226	75	111	149	0.1	0.06	189	15	0.4	141	4.1	103	10.9	7.5	5.7	3.5	1.6	86	50	241	1
diclofenac	24 hr	control	591	12.9	37.3	63.1	21.9	34.7	6.7	124.1	101.3	17	2	1	3	76	11.1	18.5	254	879	80	135	163	0.1	0.06	186	15	0.5	141	4	102	11.1	7.3	5.8	3.6	1.6	74	39	200	2
diclofenac	24 hr	control	610	13.2	37.9	62	21.7	34.9	6.3	138.3	108.3	18	1	1	3	76	11.5	19	228	977	66	98	137	0.11	0.06	206	13	0.4	141	4.3	103	11	7.6	5.8	3.5	1.5	80	38	249	1
diclofenac	24 hr	control	596	12.9	37	62.1	21.6	34.8	6.7	143.7	92.9	18	1	1	3	76	12.2	19.2	216	1103	65	53	129	0.1	0.06	186	14	0.4	140	4.2	103	10.9	7.2	5.5	3.5	1.8	69	30	230	1
diclofenac	24 hr	control	610	13.4	38.3	62.9	21.9	34.8	7	122	66.5	18	1	1	2	77	11.3	18.1	222	793	85	46	149	0.11	0.06	217	14	0.5	141	4.2	102	11	8.2	5.7	3.5	1.6	74	43	227	1
diclofenac	3 hr	Low	624	13.5	38.2	61.2	21.7	35.4	8.3	126.5	99.9	12	1	0	4	80	11.4	18.1	209	773	70	78	142	0.13	0.08	227	17	0.4	139	5.5	102	10.7	8.7	5.4	3.5	1.8	70	38	174	1
diclofenac	3 hr	Low	623	13.4	37.1	59.5	21.5	36.2	6.5	111.2	102.5	15	1	1	3	80	12.2	19.5	214	1169	56	25	99	0.11	0.06	190	9	0.4	142	4.1	104	10.6	9.8	5.6	3.5	1.7	70	38	216	1
diclofenac	3 hr	Low	609	13.1	37.1	61	21.5	35.2	8	113.7	84.7	13	1	0	5	79	12.1	15.5	219	954	73	115	145	0.1	0.06	210	15	0.4	141	4.7	104	10.7	9	5.3	3.2	1.5	64	32	238	1
diclofenac	3 hr	Low	628	13.5	38.1	60.6	21.5	35.5	8	98.2	75.2	19	1	0	4	75	11.5	18.3	219	910	81	33	138	0.1	0.06	190	12	0.4	141	4.1	104	10.7	9	5.4	3.3	1.6	69	39	194	1
diclofenac	3 hr	Low	615	14.3	40.8	66.3	23.2	35	7.3	132	70.4	13	1	0	5	79	11.7	18.8	237	1197	74	64	140	0.1	0.05	213	15	0.4	142	4.2	105	11.1	9.2	5.4	3.2	1.5	79	39	238	1
diclofenac	6 hr	Low	640	13.4	38.2	59.6	21	35.2	7.2	111.5	95.9	11	0	0	2	85	12	17.8	237	673	65	86	138	0.12	0.07	189	13	0.4	142	3.8	106	11.1	9.7	5.6	3.5	1.7	67	39	160	1
diclofenac	6 hr	Low	633	13.6	38.5	60.9	21.4	35.2	6.8	119.4	78.1	16	1	0	3	79	12.1	19.2	237	955	72	81	139	0.14	0.09	201	10	0.4	142	3.7	104	10.6	9.2	5.8	3.5	1.5	82	46	206	1
